Date,Open,High,Low,Close,Adj Close,Volume
2008-12-12,289.679993,308.959991,287.679993,304.799988,304.799988,2955500
2008-12-15,320.959991,323.119995,290.000000,294.720001,294.720001,2851000
2008-12-16,291.519989,304.880005,282.480011,291.519989,291.519989,3235700
2008-12-17,288.399994,296.320007,274.079987,278.480011,278.480011,5129100
2008-12-18,272.160004,273.119995,256.799988,261.839996,261.839996,5104600
2008-12-19,257.119995,266.480011,255.440002,264.480011,264.480011,4811300
2008-12-22,262.720001,265.119995,244.160004,245.039993,245.039993,3410400
2008-12-23,246.880005,248.479996,233.039993,240.000000,240.000000,3495700
2008-12-24,231.839996,234.720001,228.639999,232.160004,232.160004,1723800
2008-12-26,222.240005,234.000000,221.839996,232.800003,232.800003,2619700
2008-12-29,243.440002,247.600006,231.360001,247.360001,247.360001,3016700
2008-12-30,239.039993,244.240005,233.520004,241.600006,241.600006,2709100
2008-12-31,233.520004,278.959991,233.199997,264.799988,264.799988,6101900
2009-01-02,270.160004,287.279999,267.679993,285.040009,285.040009,4650000
2009-01-05,286.079987,302.640015,284.079987,298.399994,298.399994,4356300
2009-01-06,306.880005,310.000000,294.239990,298.000000,298.000000,3957100
2009-01-07,293.679993,294.399994,265.679993,266.160004,266.160004,5455300
2009-01-08,263.839996,266.880005,255.119995,265.600006,265.600006,4595300
2009-01-09,257.040009,261.119995,250.240005,258.959991,258.959991,4404000
2009-01-12,247.919998,250.479996,244.000000,245.199997,245.199997,4095600
2009-01-13,246.800003,257.440002,244.720001,254.720001,254.720001,4966600
2009-01-14,252.240005,252.479996,239.679993,249.839996,249.839996,5507000
2009-01-15,246.880005,247.119995,230.720001,241.440002,241.440002,6868900
2009-01-16,248.080002,249.600006,236.800003,238.880005,238.880005,4837900
2009-01-20,232.320007,246.320007,227.360001,229.279999,229.279999,5207900
2009-01-21,232.800003,248.559998,229.119995,248.240005,248.240005,3989900
2009-01-22,236.320007,246.160004,227.679993,240.160004,240.160004,5281700
2009-01-23,235.279999,264.000000,232.880005,258.640015,258.640015,5471800
2009-01-26,259.040009,272.799988,256.079987,257.119995,257.119995,4433000
2009-01-27,248.479996,250.080002,233.440002,236.000000,236.000000,5796300
2009-01-28,234.800003,245.039993,229.039993,238.000000,238.000000,6740200
2009-01-29,230.240005,237.919998,228.720001,233.759995,233.759995,4318800
2009-01-30,240.160004,241.600006,231.360001,233.759995,233.759995,3308200
2009-02-02,227.520004,236.000000,225.119995,227.199997,227.199997,3504100
2009-02-03,225.039993,231.520004,224.800003,230.960007,230.960007,3155000
2009-02-04,234.399994,240.000000,224.000000,226.160004,226.160004,4163200
2009-02-05,226.240005,231.759995,222.320007,230.479996,230.479996,3797400
2009-02-06,218.960007,239.520004,218.800003,225.600006,225.600006,8469900
2009-02-09,231.600006,234.960007,224.000000,226.000000,226.000000,4637000
2009-02-10,232.240005,232.399994,213.759995,215.279999,215.279999,5937900
2009-02-11,214.800003,217.279999,206.880005,208.639999,208.639999,4920000
2009-02-12,205.279999,210.880005,201.360001,209.039993,209.039993,5303500
2009-02-13,209.199997,209.919998,202.720001,204.800003,204.800003,4567600
2009-02-17,194.479996,195.600006,187.199997,187.679993,187.679993,4884300
2009-02-18,188.320007,189.039993,182.399994,182.880005,182.880005,5316100
2009-02-19,190.639999,196.880005,181.919998,194.240005,194.240005,6297400
2009-02-20,186.000000,196.240005,185.679993,194.800003,194.800003,5260500
2009-02-23,199.279999,199.839996,185.360001,186.559998,186.559998,4623400
2009-02-24,190.399994,196.000000,185.440002,195.520004,195.520004,3345200
2009-02-25,199.440002,209.440002,194.080002,208.000000,208.000000,5809900
2009-02-26,214.479996,221.440002,213.440002,217.839996,217.839996,6006700
2009-02-27,211.520004,219.520004,208.080002,216.399994,216.399994,3854900
2009-03-02,204.320007,205.919998,188.240005,195.839996,195.839996,3972900
2009-03-03,203.440002,204.320007,193.360001,203.119995,203.119995,3629700
2009-03-04,215.520004,223.679993,213.279999,220.880005,220.880005,5841100
2009-03-05,218.639999,219.199997,209.600006,212.479996,212.479996,3035200
2009-03-06,220.000000,223.919998,213.839996,223.919998,223.919998,3075700
2009-03-09,223.919998,236.479996,223.759995,229.199997,229.199997,4504100
2009-03-10,232.800003,234.559998,221.600006,222.639999,222.639999,2939100
2009-03-11,218.479996,222.880005,207.279999,210.399994,210.399994,4048300
2009-03-12,209.759995,227.759995,209.679993,225.839996,225.839996,4365600
2009-03-13,227.119995,231.119995,220.399994,221.039993,221.039993,3395000
